epoch,label_loss,domain_loss,total_loss,label_acc,domain_acc,alpha,grad_norm_features,grad_norm_labels,grad_norm_domain
11,0.013206608283023039,2.482732958263821,2.495939572652181,0.8298611111111112,0.5173611111111112,0.5005202111902354,1.8567524893997813,0.1122733995981971,5.29397708596562
12,0.012828997646768888,2.08709979057312,2.0999288161595664,0.8333333333333334,0.4791666666666667,0.5370495669980351,1.7976195658234342,0.08977640972083274,5.636625970149979
13,0.006628087721765041,1.7426259915033977,1.7492540544933743,0.828125,0.4097222222222222,0.5716699660851172,1.6906553284443948,0.04663328521543608,5.767356688358843
14,0.003095655145847963,1.725521034664578,1.7286166879865859,0.8315972222222222,0.3333333333333333,0.6043677771171636,1.9233096198641222,0.023159918373169244,6.201160543595943
15,0.0018304148494886856,1.6861125098334417,1.6879429154925876,0.828125,0.3524305555555556,0.6351489523872873,1.436902244939958,0.014184932182135639,5.921952982386206
16,0.0017376800662734443,0.9194755156834921,0.9212131963835822,0.8298611111111112,0.5607638888888888,0.6640367702678489,1.076396576088477,0.013603096488351538,4.082109412563675
17,0.0015099809129929377,0.8485297163327535,0.8500397006670634,0.8350694444444444,0.6197916666666666,0.6910694698329305,1.5185463208184204,0.01160573827140632,3.6908650260221103
18,0.0007311060423186669,1.183145562807719,1.1838766601350572,0.8315972222222222,0.5295138888888888,0.7162978701990246,1.6948937988705266,0.005954443684312565,4.340709889121407
19,0.0008453806011756468,0.9007765187157525,0.9016219112608168,0.8333333333333334,0.5503472222222222,0.7397830512740042,1.1063158402180542,0.0062109171101910115,3.473212533283647
20,0.0005242108697226892,0.8263021972444322,0.8268264134724935,0.8385416666666666,0.6197916666666666,0.7615941559557646,1.2255495140769836,0.004057784838679119,3.037201989868658
21,0.0002456355869071558,1.154566400580936,1.154812024699317,0.8298611111111112,0.5590277777777778,0.7818063576087741,1.1437515009457524,0.002114422769106694,4.153294396682351
22,0.0004999143279241656,1.036043107509613,1.036543031533559,0.8315972222222222,0.5954861111111112,0.8004990217606296,0.9249461394459212,0.00367499093723162,4.199992172678795
23,0.00020472705202539347,0.8095010386572944,0.8097057607438829,0.828125,0.6371527777777778,0.8177540779702877,0.7857414398479837,0.0017738218978252793,4.0560473809114
24,0.000470960214847259,0.7085739970207214,0.709044959810045,0.8402777777777778,0.6875,0.8336546070121553,0.8990454725436293,0.0032372416588152663,3.680423948176253
25,0.00024850224346866726,0.6823420491483476,0.6825905475351546,0.8298611111111112,0.6961805555555556,0.8482836399575131,1.011495243233018,0.002086034861325244,3.8449617912055225
26,0.0004618403893093475,0.6339997715420194,0.6344616181320615,0.8368055555555556,0.7569444444444444,0.8617231593133066,0.9600317624883739,0.0036823112058352544,3.512319460575544
27,0.0009330969244021819,0.4660159680578444,0.46694906883769566,0.8298611111111112,0.8107638888888888,0.874053287886007,0.6391992937861927,0.0066390694119530524,2.8544633859548405
28,0.0010952974925102252,0.21349359386497074,0.21458889212873247,0.8333333333333334,0.9305555555555556,0.8853516482022625,0.3609544323766224,0.007630100522385549,1.589172165905917
29,0.0006794466106738481,0.165113831559817,0.1657932764954037,0.8315972222222222,0.9444444444444444,0.8956928738431646,0.4049629262517065,0.005515842087186532,1.3717908147965294
30,0.000717148990386502,0.17459427399767768,0.175311422182454,0.8315972222222222,0.9392361111111112,0.9051482536448667,0.3848892898630152,0.005147674441568446,1.515087097022274
31,0.000444457666971074,0.16987566649913788,0.17032012343406677,0.8333333333333334,0.9340277777777778,0.9137854901178277,0.36841403614730694,0.003958924136631,1.4205676703556736
32,0.0005584910056010509,0.14552574935886595,0.1460842407411999,0.8368055555555556,0.953125,0.9216685544064713,0.36286188547625153,0.004544343419210738,1.3252311144357685
33,0.0006667497582384385,0.12487388485007817,0.12554063482417,0.8350694444444444,0.9600694444444444,0.9288576214547277,0.3396545776842346,0.005249972772302515,1.143907044581682
34,0.0006113424719337167,0.1400694954726431,0.1406808371345202,0.8298611111111112,0.9513888888888888,0.9354090706030991,0.3930758089027211,0.0050554159533244365,1.2847334037766138
35,0.0006224000511186508,0.1164363788233863,0.11705878045823839,0.8333333333333334,0.9635416666666666,0.9413755384972873,0.3254326680181989,0.005123424634885381,1.1220240633411394
36,0.0006389582393037725,0.07764968027671178,0.07828863875733481,0.8298611111111112,0.9774305555555556,0.9468060128462681,0.22216958266482706,0.004843431086506725,0.849752695488599
37,0.0005981196223324838,0.053336332448654704,0.05393445098565684,0.8333333333333334,0.9878472222222222,0.9517459571646616,0.13746577855027287,0.004783108113164651,0.5629966267463816
